State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,Region,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
08,00820,0800820,G08000820,Colorado,"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine",08,01704,0801704,G08001704,Colorado,South Denver,3,103909,102046,2,0,0,111682,119956,1,0,0,76063174,38659193,1193,0,0
08,00808,0800808,G08000808,Colorado,Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities,08,01705,0801705,G08001705,Colorado,Glendale,3,108362,153689,0,0,0,121070,176174,0,0,0,77247604,67877297,450,0,0
08,00810,0800810,G08000810,Colorado,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest),08,01705,0801705,G08001705,Colorado,Glendale,3,112878,153689,11,0.01,0.01,123968,176174,4,0,0,46688888,67877297,10835,0.02,0.02
08,00811,0800811,G08000811,Colorado,Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities,08,01705,0801705,G08001705,Colorado,Glendale,3,110222,153689,0,0,0,122264,176174,5,0,0,118889522,67877297,15282,0.01,0.02
08,00815,0800815,G08000815,Colorado,Denver City (Southeast),08,01705,0801705,G08001705,Colorado,Glendale,3,154017,153689,153678,99.78,99.99,176366,176174,176164,99.89,99.99,67942111,67877297,67850730,99.87,99.96
08,00100,0800100,G08000100,Colorado,Northeast Colorado--Eastern Plains Region,08,01800,0801800,G08001800,Colorado,Northeast Colorado,4,110399,118426,99057,89.73,83.64,109921,120318,98382,89.5,81.77,61609057389,52215153826,51321498723,83.3,98.29
08,00800,0800800,G08000800,Colorado,Southeast Colorado,20,01800,2001800,G20001800,Kansas,"Southwest Kansas--Dodge City, Garden City & Liberal City",4,100276,138232,0,0,0,98308,135811,1,0,0,49861735729,30764471935,16786,0,0
08,00823,0800823,G08000823,Colorado,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery,08,01800,0801800,G08001800,Colorado,Northeast Colorado,4,110107,118426,19369,17.59,16.36,150295,120318,21936,14.6,18.23,1250685687,52215153826,893341522,71.43,1.71
08,00100,0800100,G08000100,Colorado,Northeast Colorado--Eastern Plains Region,08,01900,0801900,G08001900,Colorado,Southeast Colorado,4,110399,103203,6499,5.89,6.3,109921,100508,5650,5.14,5.62,61609057389,51631621987,3918255148,6.36,7.59
08,00800,0800800,G08000800,Colorado,Southeast Colorado,08,01900,0801900,G08001900,Colorado,Southeast Colorado,4,100276,103203,96704,96.44,93.7,98308,100508,94858,96.49,94.38,49861735729,51631621987,47712607031,95.69,92.41
